metric,baseline_mean,baseline_std,treatment_mean,treatment_std,delta_mean,delta_ci_lo,delta_ci_hi,cohens_d,perm_p_value,n_baseline,n_treatment
avg_reward,49.19826479148865,3.567657207440027,45.13312791790962,1.3143291335244907,-4.0651368735790285,-6.820966556218274,-0.9093249305009863,-1.5120686994940997,0.054447277636118195,5,5
avg_steps,30.1684,1.2014369729619612,29.496,0.7686936971251945,-0.6723999999999997,-1.7907999999999973,0.4460400000000014,-0.6667006030861771,0.3247837608119594,5,5
pass_success_rate,0.14095626273381806,0.0056191963593988925,0.12584199502667243,0.007436470949443292,-0.015114267707145634,-0.02244412116564258,-0.00799060201054045,-2.293248036022202,0.01664916754162292,5,5
catch_success_rate,0.007530969537243129,0.003177974524560098,0.008931882345463925,0.002142768275285097,0.0014009128082207965,-0.0016342321768439245,0.0043671464726218285,0.5168931182999597,0.45012749362531873,5,5
pass_successes,218.6,9.423375191511798,186.4,13.352902306240393,-32.19999999999999,-45.19999999999999,-19.599999999999994,-2.786338818858556,0.008599570021498925,5,5
pass_attempts,1551.4,54.55547635205837,1480.6,40.04122875237472,-70.80000000000018,-124.79999999999995,-18.200000000000045,-1.4795664748316402,0.047297635118244086,5,5
catch_successes,11.6,4.669047011971501,13.2,3.03315017762062,1.5999999999999996,-2.8000000000000007,6.0,0.4064004064006095,0.5699215039248038,5,5
catch_attempts,1551.4,54.55547635205837,1480.6,40.04122875237472,-70.80000000000018,-124.79999999999995,-18.200000000000045,-1.4795664748316402,0.047297635118244086,5,5
catch_fails,30.6,10.21273714534943,29.0,6.745368781616021,-1.6000000000000014,-11.599999999999998,7.799999999999997,-0.1848753775031782,0.8115594220288985,5,5
